1.4489,0.3882
1.299,0.75
1.0607,1.0607
0.75,1.299
0.3882,1.4489
1.5,0
0,1.5
1.5,-7.5
3.5,-7.5
3.5,0
3.548,0.4877
3.9213,1.3889
4.2322,1.7678
4.6111,2.0787
5.5123,2.452
6,2.5
6,3.5
5,3.5
3,3.5
1,3.5
0,3.5
1.5,-0.5
1.5,-1
1.5,-1.5
1.5,-2
1.5,-2.5
1.5,-3
1.5,-3.5
1.5,-4
1.5,-4.5
1.5,-5
1.5,-5.5
1.5,-6
1.5,-6.5
1.5,-7
2,-7.5
2.5,-7.5
3,-7.5
3.5,-7
3.5,-6.5
3.5,-6
3.5,-5.5
3.5,-5
3.5,-4.5
3.5,-4
3.5,-3.5
3.5,-3
3.5,-2.5
3.5,-2
3.5,-1.5
3.5,-1
3.5,-0.5
3.6903,0.9567
5.0433,2.3097
6,3
5.5,3.5
4.5,3.5
4,3.5
3.5,3.5
2.5,3.5
2,3.5
1.5,3.5
0.5,3.5
0,3
0,2.5
0,2
0.5279,2.5104
1.4959,3.0626
1.5745,0.8916
1.7401,0.4784
3.0678,0.0527
3.206,0.5869
2.4709,3.0574
3.6579,1.6005
4.4579,2.3344
4.5316,2.9797
4.9797,3.158
1.8298,0.039
1.9024,-0.4486
1.9821,-0.9532
3.9824,2.0741
2.9942,-1.9923
2.0045,-2.5012
3.0014,-3.505
2.0045,-4.0063
3.0035,-5.006
2.0042,-5.5061
3.0033,-6.0056
2.0026,-6.0047
3.0027,-6.5043
2.0013,-6.5036
3.0016,-7.002
2.0002,-7.0015
3.0035,-5.5056
2.0042,-5.0056
2.0038,-4.5049
3.0033,-4.5053
3.0027,-4.0051
2.0039,-3.5054
2.0034,-3.0033
2.9993,-3.003
2.997,-2.4998
2.0057,-1.9916
2.0044,-1.4742
2.9993,-1.4785
3.0327,-0.9731
3.0998,-0.4957
3.3175,1.1463
3.9957,3.0076
3.4702,2.9078
2.9566,3.0118
1.9863,3.0733
1.3008,1.2396
1.0014,3.0384
0.9828,1.5734
0.5929,1.9562
0.5039,3.0118
1.559,1.4193
2.0705,0.5842
1.9288,1.0906
3.6925,2.5511
4.8666,2.6297
2.5004,-2.4996
2.5046,-4.007
2.5049,-5.5071
2.5027,-6.5046
2.5035,-6.0055
2.5047,-5.0066
2.5043,-4.5058
2.5031,-3.5058
2.5017,-3.0033
2.4994,-1.986
2.5006,-1.4524
2.5053,-0.8546
2.7641,-0.4931
2.8417,1.1161
3.9934,2.5661
1.3049,1.7687
2.8367,0.6671
3.1567,1.5168
2.1675,0.1239
2.5011,-7.0019
2.6413,-0.1504
2.421,2.6375
2.8474,2.5634
1.9773,2.6633
1.5193,2.644
1.032,2.5819
2.0271,1.5224
2.4001,1.0934
2.4406,0.6514
2.2846,-0.3356
2.8123,1.5885
1.985,2.2736
1.12,2.1537
3.2207,2.4235
1.5744,2.2513
2.733,2.1697
2.3705,2.2499
1.6578,1.8873
3.0443,2.0121
2.3874,1.5056
2.0083,1.8949
2.3454,1.8741
5.3776,2.9409
4.3237,2.6067
3.563,2.2212
2.5059,0.2226
3.3638,1.8329
1.7419,1.599
2.7962,0.308
2.6233,1.8785
0.264,2.5052
0.5159,2.7611
0.252,3.0059
0,2.75
0,2.25
0.2964,1.9781
0.5604,2.2333
1.25,3.5
1.0007,3.2692
1.2487,3.0505
1.498,3.2813
1.4299,1.3294
1.4377,1.0656
1.7516,0.9911
1.7439,1.2549
2.7902,2.3665
2.8887,2.0909
3.1325,2.2178
3.0341,2.4934
1.6573,0.685
1.4368,0.8208
1.3858,0.574
1.5945,0.4333
1.9987,0.0815
1.8661,-0.2048
2.0935,-0.3921
2.226,-0.1058
1.9053,0.5313
1.9996,0.8374
2.2286,3.0653
2.4854,3.2787
2.25,3.5
1.9932,3.2866
3.9879,2.3201
3.843,2.5586
3.6277,2.3861
3.7727,2.1477
5.1221,2.7853
4.955,2.4697
5.2743,2.3924
5.4449,2.6964
4.6623,2.4821
4.5345,2.2065
4.8215,2.2048
5.4388,3.2205
5.25,3.5
4.9898,3.329
5.1786,3.0494
6,2.75
5.6888,2.9705
5.755,2.488
1.6649,0.0195
1.5,-0.25
1.7012,-0.4743
3.2999,-0.4979
3.0663,-0.7344
3.2664,-0.9866
3.5,-0.75
1.9423,-0.7009
1.5,-0.75
1.7411,-0.9766
4.2202,2.2043
4.1073,1.921
4.414,1.9325
3.2496,-1.4892
3.5,-1.25
3.016,-1.2258
2.9956,-2.246
2.7468,-1.9891
2.4999,-2.2428
2.7487,-2.4997
3.2497,-3.0015
3.5,-2.75
3.2485,-2.4999
2.9981,-2.7514
3.002,-3.755
2.7522,-3.5054
2.5038,-3.7564
2.7536,-4.0061
3.2517,-4.5026
3.5,-4.25
3.2513,-4.0026
3.003,-4.2552
3.0035,-5.2558
2.7541,-5.0063
2.5048,-5.2569
2.7542,-5.5063
2.2531,-6.0051
2.0019,-6.2541
2.252,-6.5041
2.5031,-6.2551
2.2507,-7.0017
2.5019,-6.7533
2.0007,-6.7525
3.2517,-6.0028
3.003,-6.2549
3.2514,-6.5021
3.5,-6.25
2.7527,-6.5045
2.7534,-6.0056
2.5042,-5.7563
3.0034,-5.7556
3.0022,-6.7531
3.2508,-7.001
3.5,-6.75
2.0001,-7.2507
1.7501,-7.0007
1.5,-7.25
1.75,-7.5
1.7506,-6.5018
1.5,-6.75
3.25,-7.5
